,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000,outliers_lof_0.01_20,outliers_lof_0.01_35,outliers_lof_0.01_50,outliers_lof_0.05_20,outliers_lof_0.05_35,outliers_lof_0.05_50,outliers_lof_0.1_20,outliers_lof_0.1_35,outliers_lof_0.1_50
53,750.0,flat,rent,66.0,True,2,1,Madrid,Alcorcón,13311.0,good,False,1,Centro,True,desconocido,0.2473118279569892,0.2327123180827114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,650.0,flat,rent,65.0,True,1,1,Madrid,Alcalá de Henares,29440.0,good,False,en,San Isidro - Los Almendros,True,desconocido,0.2419354838709677,0.5186215943133675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,720.0,flat,rent,133.0,False,3,2,Madrid,Pinto,19453.0,good,False,1,San José - Buenos Aires,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.6075268817204301,0.3415879318596777,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,600.0,flat,rent,50.0,True,1,1,Madrid,Valdemoro,24430.0,good,False,desconocido,Hospital,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1612903225806451,0.4298122773119671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,650.0,flat,rent,61.0,True,1,1,Madrid,Collado Villalba,34886.0,good,False,2,Parque de la Coruña - Las Suertes,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2204301075268817,0.6151596263272651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,650.0,flat,rent,65.0,False,2,1,Madrid,Alcorcón,11537.0,good,False,3,Valderas - Los Castillos,False,desconocido,0.2419354838709677,0.2012656657153493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,700.0,flat,rent,45.0,True,1,1,Madrid,Madrid,12321.0,good,False,3,Barajas,False,desconocido,0.1344086021505376,0.2151631716093808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,625.0,flat,rent,62.0,True,2,1,Madrid,Getafe,11666.0,good,False,bj,Getafe Centro,False,desconocido,0.2258064516129032,0.203552372680056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,595.0,flat,rent,45.0,True,1,1,Madrid,Madrid,4543.0,good,False,bj,Latina,False,desconocido,0.1344086021505376,0.0772871501249712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,650.0,flat,rent,55.0,True,1,1,Madrid,Madrid,10495.0,good,False,4,San Blas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1881720430107527,0.1827947458919043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
