,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
191,660.0,flat,rent,155.0,False,3,2,Madrid,Aranjuez,41119,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
192,720.0,flat,rent,56.0,False,2,1,Madrid,Madrid,6691,good,False,4,Villaverde,False,desconocido
193,650.0,flat,rent,31.0,False,1,1,Madrid,Madrid,1207,good,False,3,Centro,False,desconocido
194,650.0,flat,rent,96.0,True,2,1,Madrid,Aranjuez,43953,good,False,3,Nuevo Aranjuez-Ciudad de las Artes,False,desconocido
195,660.0,flat,rent,168.0,False,4,2,Madrid,Aranjuez,41221,good,False,3,La Montaña-El Cortijo,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
196,690.0,flat,rent,64.0,True,2,1,Madrid,Alcalá de Henares,30634,good,False,bj,Val,False,desconocido
197,750.0,studio,rent,25.0,True,0,1,Madrid,Madrid,3177,good,False,5,Barrio de Salamanca,True,desconocido
198,725.0,flat,rent,45.0,True,1,1,Madrid,Madrid,10508,good,False,2,San Blas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
199,620.0,flat,rent,85.0,False,1,1,Madrid,Pinto,19767,good,False,bj,San José - Buenos Aires,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
200,590.0,flat,rent,52.0,True,1,1,Madrid,Los Molinos,44526,good,False,bj,desconocido,False,desconocido
201,750.0,penthouse,rent,80.0,True,0,1,Madrid,Tres Cantos,20818,good,False,1,Zona Industrial,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
202,720.0,studio,rent,36.0,True,0,1,Madrid,Madrid,5975,good,False,2,Ciudad Lineal,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
203,700.0,flat,rent,82.0,True,2,1,Madrid,San Lorenzo de el Escorial,42463,good,False,3,Centro - Casco Histórico,False,desconocido
204,692.0,flat,rent,83.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
205,670.0,flat,rent,79.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
206,609.0,flat,rent,56.0,True,1,1,Madrid,Alcalá de Henares,30186,newdevelopment,True,bj,Espartales,True,desconocido
207,718.0,flat,rent,86.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
208,694.0,flat,rent,81.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
